F1	F2	A1
lagon	[lagɔ̃]	n.m. 浅泻湖，咸水湖
lai	[lε]	n.m. (中世纪)抒情小诗
laid,e	[]	adj.,n. 丑陋的（人)，令人厌恶的(人)
laine	[lεn]	n.f. 羊毛
laisse (mettre qqn	[]	v.t. 牢牢地控制住某人
laisser	[lεse]	v.t. 让，留下，搁下
lait	[lε]	n.m. 乳，奶
mâchefer	[mɑ∫fεr]	n.m. 炉渣，煤碴
machination	[ma∫inasjɔ̃]	n.f. 阴谋，诡计
machine	[ma∫in]	n.f. 机器
machine à calculer	[]	n.f. 计算器
machine à laver	[]	n.f. 洗衣机
mâchoire	[mɑ∫wɑr]	n.f. 下颔
maçon	[masɔ̃]	n.m. 泥瓦工
madame	[madam]	n.f. 夫人，太太，女士
mademoiselle	[madmwazεl]	n.f. 小姐
magasin	[magazɛ̃]	n.m. 商店
magazine	[magazin]	n.m. 期刊，杂志
mage	[maʒ]	n.m. 占星家，魔术师
magicien, ne	[]	n. 魔术师，巫师，有神奇本领的人
magie	[maʒi]	n.f. 魔术
magique	[maʒik]	adj. 神奇的，富于魔力的，迷人的
magnétique	[maɲetik]	adj. 磁(性)的
magnétophone	[maɲetɔfɔn]	n.m. 磁带录音机
magnifique	[maɲifik]	adj. 壮丽的，卓越的，极美的，好极了
mai	[mε]	n.m. 五月
maigre	[mεgr]	adj. 瘦的，苗条的，稀薄的，细的
nacelle	[nasεl]	n.f. 划艇，小船
nager	[naʒe]	v.i. 游泳
nageur,se	[]	n. 游泳者，游泳运动员
naguère	[nagεr]	adv. 不久前，最近
naif,ve	[]	adj.,n. 大生的，朴素的，幼稚的，头脑简单的人
naissance	[nεsɑ̃s]	n.f. 出生，诞生
naître	[nεtr]	v.i. 诞生
nappage	[napaʒ]	n.m. 桌布，餐布
nappe	[nap]	n.f. 桌布，台布
narguer	[narge]	v.t. 蔑视，嘲弄
Nasa	[naza]	美国国家航天宇航局
natal,e	[]	adj. 出生的，诞生的
natalité	[natalite]	n.f. 出生率
natation	[natasjɔ̃]	n.f. 游泳
nation	[nasjɔ̃]	n.f. 民族
national, e	[]	adj. 民族的，国家的，国民的
nationalité	[nasjɔnalite]	n.f. 国籍，民族
natte	[nat]	n.f. 辫子，席状编织物
naturaliser	[natyralize]	v.t. 使入籍，吸收，引进
nature	[natyr]	n.f. 大自然，性格，种类
oasis	[ɔazis]	n.f. 绿洲
obéir à	[]	v.i. 遵守，服从
obélisque	[ɔbelisk]	n.m. 方尖碑
objectif	[ɔbʒεktif, -iv]	n.m 目标，客观
objectif, ve	[]	adj. 客观的，物体的
objection	[ɔbʒεksjɔ̃]	n.f. 异议，反对
objectivité	[ɔbʒεktivite]	n.f. 客观，客观态度
objet	[ɔbʒε]	n.m. 物体
obligation	[ɔbligasjɔ̃]	n.f. 义务，职责，债务，债券
obligatoire	[ɔbligatwar]	adj. 义务的，强制的
obliger (se)	[]	v.pr. 承担义务，保证，强迫自己
obscur ,o	[]	adj. 黑暗的，难懂的
obsédé ,e	[]	n. 着魔的人
observateur, trice	[]	n. 观察者，旁观者
observation	[ɔpsεrvasjɔ̃]	n.f. 观察，遵守
observer	[ɔpsεrve]	v.t. 观察，遵守
obsessionnel, le	[]	adj. 纠缠不体的，萦绕心头的
obstacle	[ɔpstakl]	n.m. 障碍(物)
obstiné, e	[]	adj. 固执的
obtenir	[ɔptənir]	v.t. 获得
pacifique	[pasifik]	adj. 太平的，和平的，温和的
page	[paʒ]	n.f. 页，页面
paiement	[pεmɑ̃]	n.m. 交付，缴纳，付款，支付，酬报
paillasson	[pajasɔ̃]	n.m. 擦鞋垫，草帽
pain	[pɛ̃]	n.m. 面包
paisible	[pezibl]	adj. 温和的，宁静的，安详的
paix	[pε]	n.f. 和平
palace	[palas]	n.m. 豪华的大旅馆
palais	[palε]	n.m. 宫殿
palais des congrès	[]	n.m. 会议大厦
Palais du	[]	n.m. 卢浮宫
pâle	[pɑl]	adj. 苍白的，无血色的
palefroi	[palfrwa]	n.m. 中世纪君主乘骑的马
palier	[palje]	n.m. 楼梯平台，阶段，水平
pâlir	[pɑlir]	v.i. 脸色发白
palme	[palm]	n.f. 棕桐，胜利，荣誉
palmier	[palmje]	n.m. 棕桐，棕树
palper	[palpe]	v.t. 触摸
palpitant, e	[]	adj. 悸动的，颤动的，使人激动的
pan	[pɑ̃]	n.m. (多面体的)面，斜面
quadricycle	[]	n.m. 四轮自行车
quai	[ke]	n.m. 站台，堤岸，河畔，码头
qualification	[kalifikasjɔ̃]	n.f. 资格，称号
qualitatif, ve	[]	adj. 性质的，质量的
qualité	[kalite]	n.f. 质量，素质，才能，优点
quand	[kɑ̃]	adv. 何时，什么时候
quand même	[kɑ̃mεm]	loc.adv. 仍然，还是
quant à	[kɑ̃ta]	Loc.prép. 至于，关于
quart	[kar]	n.m. 四分之一
quartier	[kartje]	n.m. 区，地区，居住区
Quartier Latin	[]	n.m. 拉丁区
quasi	[kazi]	adv. 几乎，差不多
quasiment	[kazimɑ̃]	adv. 大约地，几乎
quatre	[katr]	a.num. 四
quel ,le	[]	adj.inter 什么样的，哪类的
quelconque	[kεlkɔ̃k]	adj.inter 任意一个，随便哪个
quelque	[kεlkə, kεlk]	adj. 某些，几个
quelque chose	[kεlkə∫oz]	loc.adv. 大约，大概
quelque part	[kεlkəpar]	loc.adv. 在某地，在某处
quelquefois	[kεlkəfwa]	adv. 有时
rabbin	[rabɛ̃]	n.m. 犹太教教士
rabot	[rabo]	n.m. 刨子，刮削器，润色
raccompagner	[rakɔ̃paɲe]	v.t. 陪送……回去
raccrocher	[rakrɔ∫e]	v.t. 挂断电话，重新挂上，招揽，吸引
race	[ras]	n.f. 人种，种族，家族
racheter	[ra∫te]	v.t. 回购，再买，偿还
racine	[rasin]	n.f. 根，根部，根基，根源
Racing-Club	[]	n.m. 体育协会
racisme	[rasism]	n.m. 种族主义
raconter	[rakɔ̃te]	v.t. 讲述，叙述
radear	[rad]	n.m. 木筏，木排
radiateur	[radjatœr]	n.m. 散热器，辐射器
radiation	[radjasjɔ̃]	n.f. 划去，注销，删除
radio	[radjo]	n.f. 广播
radio-télévision	[]	n.f. 广播电视
radis	[radi]	n.m. 红皮白萝卜
radoter	[radɔte]	v.i. 罗嗦，翻来覆去地讲
rafale	[rafal]	n.f. 阵风，意外事故，突发，爆发
raffiné ,e	[]	adj. 精炼的，讲究的，精美的，经过提炼的
rafraîchir	[rafrε∫ir]	v.i. 使凉爽，翻新，唤醒，使重新活跃
sa	[sa]	a.poss. 他(她)的
sable	[sabl]	n.m. 沙子
sablier	[sablije]	n.m. 沙壶，沙时计
sabot	[sabo]	n.m. 木鞋， (橡胶)套鞋
sabotage	[sabɔtaʒ]	n.m. 木鞋制造业，草率从事，破坏
saboter	[sabɔte]	v.t. 草率地做，破坏
sac	[sak]	n.m. 书包，包，袋
sac à main	[]	n.m. 手袋
sac de couchage	[]	n.m. 睡袋
saccadé ,e	[]	adj. 一跳一颠的，颠动的
sacrer	[sakre]	v.t. 祝圣，加冕
sacrifié ,e	[]	adj. 献身的，亏本出售的
sacrifier	[sakrifje]	v.i. 为……而牺牲，贡献，献祭
sage	[saʒ]	adj. 乖的，聪慧的，谨慎的
sagesse	[saʒεs]	n.f. 明智，睿智，慎重，文静，老实
saigner	[sεɲe]	v.i. 流血，出血
saillant, e	[]	adj. 突出的，凸起的
sain,e	[]	adj. 卫生的，完好的，未变质的
saint et sauf	[]	loc.adj. 安然无恙的
saisir	[sεzir]	v.t. 抓紧，抓住
tabac	[taba]	n.m. 烟草，香烟店
table de nuit	[]	n.f. 床头柜
tableau	[tablo]	n.m. 布告栏，表格，名单，牌子，板，画
tablette	[tablεt]	n.f. (指)长方形薄块(的食品)，板，搁板
tablier	[tablije]	n.m. 围裙，工作罩衫
tabou	[tabu]	n.m. 禁忌
tache	[ta∫]	n.f. 污点，斑点
tâche	[tɑ∫]	n.f. 任务，工作
tâcher (de)	[]	v.i. 努力，尽力
taille	[taj]	n.f. 尺寸，尺码，身材，规模
taille détablissernent	[]	n.f. (机构，机关，企业的)规模
tailler	[taje]	v.t. 切割，切削，修剪
tailleur	[tajœr]	n.m. 裁缝
taire (se)	[]	v.pr. 沉默
talent	[talɑ̃]	n.m. 天赋，才能
talon	[talɔ̃]	n.m. 脚后跟， (鞋子的)后掌
tambour	[tɑ̃bur]	n.m. 鼓
tambourin	[tɑ̃burɛ̃]	n.m. 铃鼓，长鼓舞曲
tandis que	[tɑ̃di(s)k]	loc.conj. 然而，而，当……的时候
tanguer	[tɑ̃ge]	v.i. 前后颠簸
ultérieur, e	[]	adj. 以后的，今后的，外面的
ultra	[yltra]	a.inv. 超级的，极品的，极端的
Union Européenne	[]	欧盟
unique	[ynik]	adj. 唯一的，仅有的，独特的
unir	[ynir]	v.t. 合并，团结，联合
unité	[ynite]	n.f. 单位，团结，一致
univer	[ynivεr]	n.m. 宇宙，全球，全世界，天地
universitaire	[ynivεrsitεr]	adj. 大学的
université	[ynivεrsite]	n.f. 大学
urbain, e	[]	adj. 城市的，都市的
urbaniste	[yrbanist]	n. 城市设计家
urgent, e	[]	adj. 紧急的，急迫的
usage	[yzaʒ]	n.m. 用法，惯用法，习俗，应用，使用
user de	[]	v.t.indir. 使用，运用
usine	[yzin]	n.f. 工厂
ustensile	[ystɑ̃sil]	n.m. 器皿，厨房(盟洗)用具
utile	[ytil]	adv. 有用的，有益的
utilisation	[ytilizasjɔ̃]	n.f. 使用，利用
utiliser	[ytilize]	v.t. 使用，利用
utilitaire	[ytilitεr]	adj.,n. 只求实利的(人)，功利主义的(人)
vacances	[vakɑ̃s]	n.f.pl. 假期
vacancier	[]	n.度假的人，旅行度假的人
vacarme	[vakarm]	n.m.  吵闹，吵嚷；嘈杂声
vaccin	[vaksɛ̃]	n.m.疫苗，菌苗；痘苗
vaccination	[vaksinasjɔ̃]	n.f.疫苗接种，菌苗接种，预防接种
vache	[va∫]	n.f. 母牛；adj. 凶狠的，厉害的
vacherie	[va∫ri]	n.f.母牛棚；[民]凶恶的话或行为；讨厌的东西
vagabonder	[vagabɔ̃de]	v.i.流浪，漂泊
vague	[vag]	adj.  含糊的，含混的；n.f.  浪，波浪，波涛
vaillance	[vajɑ̃s]	n.f.[书]骁勇，英勇；勇敢，勇气；f.英勇, 勇敢, 坚强
vaincre	[vɛ̃kr]	v.t. 战胜，击败；[转]克服，克制；(se) v.pr. 自制，自我克制
vaincu	[vɛ̃ky]	adj.  被克服的，战败的；n.m.  战败者
vainqueur	[vɛ̃kœr]	adj.  战胜者的；得胜者的；n.m.  战胜者，胜利者；
vaisseau	[vεso]	n.m.  大船；军舰；[古]壶，坛子，瓮；[建]厅堂；[植]导管
vaisselle	[vεsεl]	n.f.  碗碟；刷洗碗碟
valet	[valε]	n.m.  仆从，仆人；奴才；雇工
valeur	[valœr]	n.f.[商]价格；n.f. pl.价值观念，道德标准，社会准则
valeureux, se	[]	a.有价值的
valise	[valiz]	n.f.  手提箱
vallée	[vale]	n.f.  谷，山谷，河谷；谷地；流域
wagon	[vagɔ̃]	n.m. 火车车厢
wagon-lit	[vagɔ̃li]	n.m. 卧铺车厢
wagon-restaurant	[vagɔ̃rεstɔrɑ̃]	n.m. 餐车
weekend	[wikεnd]	n.m. 周末
whisky	[wiski]	n.m. 威士忌
windsurf	[windsœrf]	n.m. 风帆冲浪板
xalostocite	[]	f. 蔷薇[钙铝]榴石
Xanarthrés	[]	m. pl. 贫齿目
xanthadine	[]	f. 鸦片黄
xanthane	[]	m. 苍耳烷
xantharsénite	[]	f. 黄砷锰矿
xanthate	[]	m. 黄酸盐， 黄原酸盐
xanthatine	[]	f. 苍耳素
xanthéine	[]	f. 胞液黄素
xanthélasma	[]	m. 黄斑瘤
xénélasie	[]	n. f. 驱逐敌国人的权力
xocomecatlite	[]	f. 绿碲铜石
xographie	[ksɔgrafi]	n. f. 彩色立体摄影术 
xonotlite	[]	f. 硬硅钙石
xoymagnite	[]	f. 磁赤铁矿
xylamine	[]	f. 氨基木聚糖
xylène	[]	n. m. [化]二甲苯 
xylénol	[]	m. 二甲苯酚， 二甲酚
xylényl	[]	m. 二甲苯基
yaourt	[jaurt]	n.m. 酸奶
y compris	[ikɔ̃pri]	包括
yacht	[jɔt]	m. 游艇
yack	[jak]	m.牦牛
yèble	[]	n.f.【植物学】矮接骨木
Yéménite	[jemenit]	a. 也门的
yellow	[]	黄
ylyn	[]	m. 绿岩
yofortiérite	[]	f.锰坡缕石
ypréau	[]	(复数~x) n.m 白杨树； 阔叶榆
ytterbine	[]	n. f. 【化学】氧化镱
yttrifère	[itrifεr]	a. [矿]含钇的
yttrique	[]	a. [化](三价)钇的
yukonite	[]	f. 水砷钙铁石， 英闪细晶岩
yuksporite	[]	f. 针碱钙石
yxolite	[]	f. 地蜡
zèle	[zεl]	n.m. 虔诚，热情
zéphire, zéphyr	[]	n.m. 微风，和风
zéro	[zero]	n.m. 零
zigzaguer	[zigzage]	v.i. 成锯齿型，踉跄而行
zinc	[zɛ̃g]	n.m. 锌
zingueur	[zɛ̃gœr]	n.m. 锌制品工人
zone	[zon]	n.f. 地区，地方
zoo	[zo]	n.m. 动物园
zoologique	[zɔɔlɔʒik]	adj. 动物学的，动物的
à la place de	[]	loc.prép. 代替，在……的位置上
à la suite de	[alasɥitdə]	loc.prép. 由子，在……后面
à la tombée de	[]	loc.adj. ……落下
à l'abri de	[]	loc.prép. 躲避，不受……侵袭
à lapprochc de	[]	loc.prép. 临近
à l'égard de	[]	loc.prêp. 关于，对于
à l'envi de	[]	loc.prép. 与……竞争
à l'époque	[]	loc.adv. 在那个时期
à l'épreuve de	[]	loc.prép. 耐，抗……
à l'exclusion de	[alεksklyzjɔ̃də]	loc.prép. ……除外，不包括……在内
à l'exil	[]	loc.adv. 流放
à l'issue de	[]	loc.prép. ……结束后，完结时……
à l'occasion	[]	loc.adv. 有机会的时候
à mains arrière	[]	loc.adv. 手背在身后
à moilté prix	[]	loc.adv. 半价
à moins que	[]	loc.conj. 除非，如果不
à mon avis	[]	loc.adv. 依我所见，在我看来
à n'importe quel	[]	loc.prép. 无论何时
à noter que	[]	loc.conj. 要注意到
à nouveau	[]	loc.adv. 又一次，再次
bâilloner	[bajɔne]	v.t. 压制言论，塞住·自由
bain	[bɛ̃]	n.m 洗澡，淋浴
bains de mer	[]	n.m.pl. 海水浴
baisse	[bεs]	n.f. 下降，降低
baisser	[bεse]	v.t. 落下，降下
bal	[bal]	n.m. 舞会，舞厅
balade	[balad]	n.f. 闲逛，游览
balai	[balε]	n.m. 扫帚
balbutier	[balbysje]	v.i. 结结巴巴地说(话)
baleine	[balεn]	n.f. 鲸
baliverne	[balivεrn]	n.f. 废话，空话
balle	[bal]	n.f. 子弹
ballon	[balɔ̃]	n.m. 球
balnéaire	[balneεr]	adj. 海水浴的
bâlon	[bɑtɔ̃]	n.m. 棍，杖
bambou	[bɑ̃bu]	n.m. 竹子
banal, e	[]	adj. 平凡的
banaliser	[banalize]	v.t. 使变得平凡
banane	[banan]	n.f. 香蕉
banc	[bɑ̃]	n.m. 长凳
cadet, te	[]	adj. 较年幼的
cadran	[kadrɑ̃]	n.m. 钟面，刻度盘
cadre	[kɑdr]	n.f. 干部
cafard	[kafar]	n.m. 婶蝴，沮丧
café	[kafe]	n.m. 咖啡
café crème	[]	n.m. 奶油咖啡
cage	[kaʒ]	n.f. 鸟笼
cahier	[kaje]	n.m. 本子，练习本
caillou	[kaju]	n.m. 碎石
caisse	[kεs]	n.f. 收款台，钱箱
caisse d'épargne	[]	n.f. 储蓄银行
caissier, ère	[]	n. 收款员
cajoler	[kaʒɔle]	v.t. 哄，爱抚，奉承
calcaire	[kalkεr]	adj. 钙质的，石灰质
calcul	[kalkyl]	n.m. 计算，算术
calculer	[kalkyle]	v.t. 计算
calendrier	[kalɑ̃drije]	n.m. 历法，时间表
calendrier lunaire	[]	n.m. 月历，阴历
calepin	[kalpɛ̃]	n.m. 笔记本，备忘录
calme	[kalm]	adj. 安静的
dauphin	[dofɛ̃]	n.m. 海脉， (法国）王太子，王储
d'autant plus ... que	[]	loc.prép. 比…更加
davantage	[davɑ̃taʒ]	adv. 更多，更加，更久地
de	[də]	prép. …的
de bon cœur	[]	loc.adv. 乐意地，由衷地
de chaque côté de	[]	loc.adv. 在每一侧
de façon régulière	[]	loc.adv. 有规律地
de fait	[dəfεt]	loc.adv. 事实上，其实
de grâce	[]	loc.adv. 求求你，发发慈悲
de la part de	[]	Loc.prêp. 以……的名义
de manière à	[]	loc.adv. 以致于……，以便于……
de moins en moins	[]	loc.adv. 越来越少(不)
de par	[dəpar]	loc.prép. 由于
de plus	[]	lot.adv. 再，义，此外
de plus en plus	[]	loc.adv. 越来越……
de quoi	[]	必需的东西，足够的东西
de retour	[]	loc.prêp. 回来，归来
de rien	[]	interj. 没关系
de son vivant	[]	loc.adv. ……在世时
de surcroît	[]	loc.adv. 另外，加之
échéance	[e∫eɑ̃s]	n.f. 到期，期限
échec	[e∫εk]	n.m. 失败
échecs	[e∫εk]	n.m.pl. 国际象棋， (国际象棋)的棋子
échelle	[e∫εl]	n.f. 梯子
échelonner	[e∫lɔne]	v.t. 分期进行，分段放置
écho	[eko]	n.m. 反响，回声
échouer	[e∫we]	v.i. (船)搁浅
échouer (s')	[]	v.pr. 电光，闪电
éclair	[eklεr]	n.m. 照明，光线
